GROUP_CONCAT(`attribute_code`)    entity_type_id    attribute_model    backend_model                                      backend_type    backend_table    frontend_model                     frontend_input    frontend_class         source_model
minimal_price                               4                   ~       ~                                                      decimal       ~                   ~                                     price          ~                      ~
price                                       4                   ~    catalog/product_attribute_backend_price                   decimal       ~                   ~                                     price          ~                      ~
weight                                      4                   ~       ~                                                      decimal       ~                   ~                                     weight         ~                      ~
- group_price                                 4                   ~    catalog/product_attribute_backend_groupprice              decimal       ~                   ~                                     text           ~                      ~
- tier_price                                  4                   ~    catalog/product_attribute_backend_tierprice               decimal       ~                   ~                                     text           ~                      ~

manufacturer                                4                   ~       ~                                                          int       ~                   ~                                     select         ~                      ~
price_view                                  4                   ~       ~                                                          int       ~                   ~                                     select         ~         bundle/product_attribute_source_price_view
status                                      4                   ~       ~                                                          int       ~                   ~                                     select         ~         catalog/product_status
visibility                                  4                   ~       ~                                                          int       ~                   ~                                     select         ~         catalog/product_visibility
is_recurring                                4                   ~       ~                                                          int       ~                   ~                                     select         ~         eav/entity_attribute_source_boolean
tax_class_id                                4                   ~       ~                                                          int       ~                   ~                                     select         ~         tax/class_source_product
suit_size_fr                                4                   ~       ~                                                          int       ~                   ~                                     select         ~         eav/entity_attribute_source_table
old_id                                      4                   ~       ~                                                          int       ~                   ~                                     text           ~                      ~
links_exist                                 4                   ~       ~                                                          int       ~                   ~                                        ~           ~                      ~

gift_message_available                      4                   ~    catalog/product_attribute_backend_boolean                 varchar       ~                   ~                                     select         ~         eav/entity_attribute_source_boolean
- msrp_display_actual_price_type              4                   ~    catalog/product_attribute_backend_boolean                 varchar       ~                   ~                                     select         ~         catalog/product_attribute_source_msrp_type_price
options_container                           4                   ~       ~                                                      varchar       ~                   ~                                     select         ~         catalog/entity_product_attribute_design_options_container
country_of_manufacture                      4                   ~       ~                                                      varchar       ~                   ~                                     select         ~         catalog/product_attribute_source_countryofmanufacture
page_layout                                 4                   ~       ~                                                      varchar       ~                   ~                                     select         ~         catalog/product_attribute_source_layout
custom_design                               4                   ~       ~                                                      varchar       ~                   ~                                     select         ~         core/design_source_design
msrp_enabled                                4                   ~    catalog/product_attribute_backend_msrp                    varchar       ~                   ~                                     select         ~         catalog/product_attribute_source_msrp_type_enabled
shoelace_length                             4                   ~    eav/entity_attribute_backend_array                        varchar       ~                   ~                                     multiselect    ~                      ~
gallery                                     4                   ~       ~                                                      varchar       ~                   ~                                     gallery        ~                      ~
media_gallery                               4                   ~    catalog/product_attribute_backend_media                   varchar       ~                   ~                                     gallery        ~                      ~
image                                       4                   ~       ~                                                      varchar       ~    catalog/product_attribute_frontend_image             media_image    ~                      ~
meta_description                            4                   ~       ~                                                      varchar       ~                   ~                                     textarea       ~                      ~
url_key                                     4                   ~    catalog/product_attribute_backend_urlkey                  varchar       ~                   ~                                     text           ~                      ~
supplier_materials                          4                   ~       ~                                                      varchar       ~                   ~                                     text           ~                      ~
samples_title                               4                   ~       ~                                                      varchar       ~                   ~                                        ~           ~                      ~

custom_layout_update                        4                   ~    catalog/attribute_backend_customlayoutupdate                 text       ~                   ~                                     textarea       ~                      ~
recurring_profile                           4                   ~    catalog/product_attribute_backend_recurring                  text       ~                   ~                                     text           ~                      ~
original_description                        4                   ~       ~                                                         text       ~                   ~                                     textarea       ~                      ~

sku                                         4                   ~    catalog/product_attribute_backend_sku                      static       ~                   ~                                     text           ~                      ~
created_at                                  4                   ~    eav/entity_attribute_backend_time_created                  static       ~                   ~                                     text           ~                      ~
updated_at                                  4                   ~    eav/entity_attribute_backend_time_updated                  static       ~                   ~                                     text           ~                      ~
has_options                                 4                   ~       ~                                                       static       ~                   ~                                     text           ~                      ~

special_from_date                           4                   ~    catalog/product_attribute_backend_startdate_specialprice datetime       ~                   ~                                     date           ~                      ~
custom_design_from                          4                   ~    catalog/product_attribute_backend_startdate              datetime       ~                   ~                                     date           ~                      ~
release_date                                4                   ~    eav/entity_attribute_backend_datetime                    datetime       ~    eav/entity_attribute_frontend_datetime               date           ~                      ~
custom_design_to                            4                   ~    eav/entity_attribute_backend_datetime                    datetime       ~                   ~                                     date           ~                      ~
