value_id,store_id,"label",position,disabled
1161,0,,0,0
1162,0,,2,0
1163,0,,3,0
1164,0,,4,0
1165,0,,5,0
1166,0,,1,0
463720,0,,1,1
463722,0,,3,1
463723,0,,4,0
463724,0,,5,0
463725,0,,1,1
463727,0,,3,1
463728,0,,4,0
463729,0,,5,0
463730,0,,6,0
463731,0,,7,0
463732,0,,1,1
463734,0,,3,1
463735,0,,4,0
463736,0,,5,0
463737,0,,6,0
463738,0,,7,0
463739,0,,1,1
463741,0,,3,1
463742,0,,4,0
463743,0,,1,1
463745,0,,3,1
463746,0,,4,0
463747,0,,1,1
463749,0,,3,1
463750,0,,4,0
463751,0,,5,0
463752,0,,1,1
463754,0,,3,1
463755,0,,4,0
463756,0,,5,0
463757,0,,1,1
463759,0,,3,1
463760,0,,4,0
463761,0,,5,0
463762,0,,1,1
463764,0,,3,1
463765,0,,4,0
463766,0,,5,0
463767,0,,1,1
463769,0,,3,1
463770,0,,4,0
463771,0,,5,0
463772,0,,1,1
463774,0,,3,1
463775,0,,4,0
463776,0,,5,0
463777,0,,6,0
463778,0,,1,1
463780,0,,3,1
463781,0,,4,0
463782,0,,5,0
463783,0,,6,0
463784,0,,1,1
463786,0,,3,1
463787,0,,4,0
463788,0,,1,1
463790,0,,3,1
463791,0,,4,0
463792,0,,5,0
463793,0,,6,0
463794,0,,1,1
463796,0,,3,1
463797,0,,4,0
463798,0,,5,0
463799,0,,1,1
463801,0,,3,1
463802,0,,4,0
463803,0,,5,0
463804,0,,1,1
463806,0,,3,1
463807,0,,4,0
463808,0,,5,0
463809,0,,6,0
463810,0,,1,1
463812,0,,3,1
463813,0,,4,0
463814,0,,5,0
463821,0,,1,1
463823,0,,3,1
463824,0,,4,0
463825,0,,5,0
463826,0,,6,0
463848,0,,1,1
463850,0,,3,1
463851,0,,4,0
463852,0,,5,0
463853,0,,6,0
463854,0,,7,0
463855,0,,1,1
463857,0,,3,1
463858,0,,4,0
463859,0,,5,0
463860,0,,6,0
463861,0,,1,1
463863,0,,3,1
463864,0,,4,0
463865,0,,5,0
463866,0,,6,0
463867,0,,7,0
463868,0,,8,0
463869,0,,1,1
463871,0,,3,1
463872,0,,4,0
463873,0,,5,0
463874,0,,6,0
463875,0,,7,0
463876,0,,8,0
463877,0,,9,0
463878,0,,1,1
463880,0,,3,1
463881,0,,4,0
463882,0,,5,0
463883,0,,6,0
463884,0,,7,0
463885,0,,1,1
463887,0,,3,1
463888,0,,4,0
463889,0,,5,0
463890,0,,6,0
463891,0,,7,0
463892,0,,1,1
463894,0,,3,1
463895,0,,4,0
463896,0,,5,0
463897,0,,6,0
463898,0,,7,0
463899,0,,8,0
463900,0,,9,0
463901,0,,1,1
463903,0,,3,1
463904,0,,4,0
463905,0,,5,0
463906,0,,6,0
463907,0,,7,0
463908,0,,8,0
463909,0,,9,0
463910,0,,1,1
463912,0,,3,1
463913,0,,4,0
463914,0,,5,0
463915,0,,6,0
463916,0,,7,0
463917,0,,8,0
463918,0,,9,0
463919,0,,1,1
463921,0,,3,1
463922,0,,4,0
463923,0,,5,0
463924,0,,6,0
463925,0,,7,0
463926,0,,8,0
463927,0,,9,0
463928,0,,1,1
463930,0,,3,1
463931,0,,4,0
463932,0,,5,0
463933,0,,6,0
463934,0,,7,0
463935,0,,8,0
463936,0,,1,1
463938,0,,3,1
463939,0,,4,0
463940,0,,5,0
463941,0,,6,0
463942,0,,7,0
463943,0,,8,0
463947,0,,2,0
463948,0,,3,0
463949,0,,1,0
463950,0,,5,0
463951,0,,4,0
463952,0,,6,0
463953,0,,1,1
463955,0,,3,1
463956,0,,4,0
463957,0,,5,0
463958,0,,6,0
463959,0,,7,0
463960,0,,8,0
463961,0,,9,0
463962,0,,1,1
463964,0,,3,1
463965,0,,4,0
463966,0,,5,0
463967,0,,6,0
463968,0,,7,0
463969,0,,8,0
463970,0,,1,1
463972,0,,3,1
463973,0,,4,0
463974,0,,5,0
463975,0,,6,0
463976,0,,1,1
463978,0,,3,1
463979,0,,4,0
463980,0,,5,0
463981,0,,1,1
463983,0,,3,1
463984,0,,4,0
463985,0,,5,0
463986,0,,6,0
463987,0,,7,0
463996,0,,1,1
463998,0,,3,1
463999,0,,4,0
464000,0,,5,0
464001,0,,6,0
464002,0,,7,0
464003,0,,1,1
464005,0,,3,1
464006,0,,4,0
464007,0,,5,0
464008,0,,6,0
464009,0,,1,1
464011,0,,3,1
464012,0,,4,0
464013,0,,5,0
464014,0,,6,0
464015,0,,1,1
464017,0,,3,1
464018,0,,4,0
464019,0,,5,0
464020,0,,6,0
464021,0,,1,1
464023,0,,3,1
464024,0,,4,0
464025,0,,5,0
464026,0,,6,0
464027,0,,1,1
464029,0,,3,1
464030,0,,4,0
464031,0,,5,0
464032,0,,6,0
464033,0,,7,0
464034,0,,8,0
464035,0,,9,0
464036,0,,1,1
464038,0,,3,1
464039,0,,4,0
464040,0,,5,0
464041,0,,6,0
464042,0,,7,0
464043,0,,8,0
464044,0,,1,1
464046,0,,3,1
464047,0,,4,0
464048,0,,5,0
464049,0,,6,0
464050,0,,7,0
464051,0,,8,0
464055,0,,3,0
464056,0,,2,0
464057,0,,4,0
464058,0,,1,0
464059,0,,1,1
464061,0,,3,1
464062,0,,4,0
464063,0,,5,0
464064,0,,6,0
464065,0,,1,1
464067,0,,3,1
464068,0,,4,0
464069,0,,5,0
464070,0,,6,0
464071,0,,1,1
464073,0,,3,1
464074,0,,4,0
464075,0,,5,0
464076,0,,6,0
464077,0,,7,0
464078,0,,8,0
464079,0,,1,1
464081,0,,3,1
464082,0,,4,0
464083,0,,5,0
464084,0,,6,0
464085,0,,7,0
464086,0,,8,0
464087,0,,1,1
464089,0,,3,1
464090,0,,4,0
464091,0,,5,0
464092,0,,6,0
464093,0,,7,0
464094,0,,8,0
464095,0,,1,1
464097,0,,3,1
464098,0,,4,0
464099,0,,5,0
464100,0,,6,0
464101,0,,7,0
464102,0,,8,0
464103,0,,1,1
464105,0,,3,1
464106,0,,4,0
464107,0,,5,0
464108,0,,6,0
464109,0,,7,0
464110,0,,8,0
464111,0,,9,0
464112,0,,1,1
464114,0,,3,1
464115,0,,4,0
464116,0,,5,0
464117,0,,6,0
464118,0,,7,0
464119,0,,8,0
464120,0,,9,0
464121,0,,1,1
464123,0,,3,1
464124,0,,4,0
464125,0,,5,0
464126,0,,6,0
464127,0,,7,0
464128,0,,8,0
464129,0,,1,1
464131,0,,3,1
464132,0,,4,0
464133,0,,5,0
464134,0,,6,0
464135,0,,7,0
464136,0,,8,0
464137,0,,1,1
464139,0,,3,1
464140,0,,4,0
464141,0,,5,0
464142,0,,6,0
464143,0,,7,0
464144,0,,8,0
464145,0,,1,1
464147,0,,3,1
464148,0,,4,0
464149,0,,5,0
464150,0,,6,0
464151,0,,7,0
464152,0,,8,0
464153,0,,1,1
464155,0,,3,1
464156,0,,4,0
464157,0,,5,0
464158,0,,6,0
464159,0,,7,0
464160,0,,8,0
464161,0,,9,0
464162,0,,1,1
464164,0,,3,1
464165,0,,4,0
464166,0,,5,0
464167,0,,6,0
464168,0,,7,0
464169,0,,8,0
464170,0,,9,0
464171,0,,1,1
464173,0,,3,1
464174,0,,4,0
464175,0,,5,0
464176,0,,6,0
464177,0,,7,0
464178,0,,8,0
464179,0,,9,0
464180,0,,1,1
464182,0,,3,1
464183,0,,4,0
464184,0,,5,0
464185,0,,6,0
464186,0,,7,0
464187,0,,8,0
464188,0,,1,1
464190,0,,3,1
464191,0,,4,0
464192,0,,5,0
464193,0,,6,0
464194,0,,7,0
464195,0,,8,0
464196,0,,1,1
464198,0,,3,1
464199,0,,4,0
464200,0,,5,0
464201,0,,6,0
464202,0,,7,0
464203,0,,8,0
464204,0,,1,1
464206,0,,3,1
464207,0,,4,0
464208,0,,5,0
464209,0,,6,0
464210,0,,7,0
464211,0,,8,0
464212,0,,1,1
464214,0,,3,1
464215,0,,4,0
464216,0,,5,0
464217,0,,6,0
464218,0,,7,0
464219,0,,8,0
464220,0,,9,0
464221,0,,1,1
464223,0,,3,1
464224,0,,4,0
464225,0,,5,0
464226,0,,6,0
464227,0,,7,0
464228,0,,8,0
464229,0,,9,0
464230,0,,1,1
464232,0,,3,1
464233,0,,4,0
