value_id,product_super_attribute_id,store_id,use_default,"value"
1,1,1,1,""
2,2,1,1,""
3,3,1,1,""
4,4,1,1,""
5,5,1,1,""
6,6,1,1,""
7,7,1,1,""
8,8,1,1,""
9,9,1,1,""
10,10,1,1,""
11,11,1,1,""
12,12,1,1,""
13,13,1,1,""
14,14,1,1,""
15,15,1,1,""
16,16,1,1,""
17,17,1,1,""
18,18,1,1,""
19,19,1,1,""
20,20,1,1,""
21,21,1,1,""
22,22,1,1,""
23,23,1,1,""
24,24,1,1,""
25,25,1,1,""
26,26,1,1,""
27,27,1,1,""
28,28,1,1,""
29,29,1,1,""
30,30,1,1,""
31,31,1,1,""
32,32,1,1,""
33,33,1,1,""
34,34,1,1,""
35,35,1,1,""
36,36,1,1,""
37,37,1,1,""
38,38,1,1,""
39,39,1,1,""
40,40,1,1,""
41,41,1,1,""
42,42,1,1,""
43,43,1,1,""
44,44,1,1,""
45,45,1,1,""
46,46,1,1,""
47,47,1,1,""
48,48,1,1,""
49,49,1,1,""
50,50,1,1,""
52,52,1,1,""
53,53,1,1,""
54,54,1,1,""
55,55,1,1,""
56,56,1,1,""
57,57,1,1,""
58,58,1,1,""
59,59,1,1,""
60,60,1,1,""
61,61,1,1,""
62,62,1,1,""
63,63,1,1,""
64,64,1,1,""
65,65,1,1,""
66,66,1,1,""
68,68,1,1,""
69,69,1,1,""
70,70,1,1,""
71,71,1,1,""
72,72,1,1,""
73,73,1,1,""
74,74,1,1,""
75,75,1,1,""
76,76,1,1,""
77,77,1,1,""
78,78,1,1,""
79,79,1,1,""
80,80,1,1,""
81,81,1,1,""
82,82,1,1,""
84,84,1,1,""
85,85,1,1,""
87,87,1,1,""
89,89,1,1,""
91,91,1,1,""
93,93,1,1,""
94,94,1,1,""
95,95,1,1,""
96,96,1,1,""
98,98,1,1,""
100,100,1,1,""
102,102,1,1,""
104,104,1,1,""
106,106,1,1,""
107,107,1,1,""
109,109,1,1,""
111,111,1,1,""
113,113,1,1,""
115,115,1,1,""
116,116,1,1,""
125,125,1,1,""
129,129,1,1,""
130,130,1,1,""
146,146,1,1,""
147,147,1,1,""
149,149,1,1,""
151,151,1,1,""
152,152,1,1,""
153,153,1,1,""
154,154,1,1,""
156,156,1,1,""
158,158,1,1,""
159,159,1,1,""
161,161,1,1,""
163,163,1,1,""
164,164,1,1,""
165,165,1,1,""
167,167,1,1,""
169,169,1,1,""
171,171,1,1,""
173,173,1,1,""
175,175,1,1,""
177,177,1,1,""
178,178,1,1,""
179,179,1,1,""
181,181,1,1,""
183,183,1,1,""
185,185,1,1,""
187,187,1,1,""
188,188,1,1,""
189,189,1,1,""
190,190,1,1,""
3965,3965,1,1,""
4061,4061,1,1,""
4063,4063,1,1,""
4064,4064,1,1,""
4065,4065,1,1,""
4066,4066,1,1,""
4067,4067,1,1,""
4325,4325,1,1,""
4326,4326,1,1,""
4327,4327,1,1,""
4328,4328,1,1,""
4394,4394,1,1,""
4395,4395,1,1,""
4396,4396,1,1,""
4397,4397,1,1,""
4398,4398,1,1,""
4399,4399,1,1,""
4400,4400,1,1,""
4401,4401,1,1,""
4402,4402,1,1,""
4403,4403,1,1,""
4404,4404,1,1,""
16177,16177,1,1,""
16185,16185,1,1,""
16188,16188,1,1,""
16189,16189,1,1,""
16201,16201,1,1,""
16202,16202,1,1,""
16230,16230,1,1,""
16231,16231,1,1,""
16232,16232,1,1,""
16233,16233,1,1,""
16234,16234,1,1,""
16235,16235,1,1,""
16236,16236,1,1,""
16237,16237,1,1,""
16238,16238,1,1,""
16239,16239,1,1,""
16306,16306,1,1,""
16390,16390,1,1,""
16425,16425,1,1,""
16435,16435,1,1,""
16436,16436,1,1,""
16437,16437,1,1,""
16438,16438,1,1,""
16439,16439,1,1,""
16440,16440,1,1,""
16441,16441,1,1,""
16442,16442,1,1,""
16443,16443,1,1,""
16444,16444,1,1,""
16445,16445,1,1,""
16446,16446,1,1,""
16447,16447,1,1,""
16448,16448,1,1,""
16449,16449,1,1,""
16450,16450,1,1,""
16451,16451,1,1,""
16452,16452,1,1,""
16453,16453,1,1,""
16454,16454,1,1,""
16455,16455,1,1,""
16456,16456,1,1,""
16457,16457,1,1,""
16458,16458,1,1,""
16459,16459,1,1,""
18783,18783,1,1,""
18784,18784,1,1,""
18785,18785,1,1,""
18786,18786,1,1,""
18787,18787,1,1,""
18788,18788,1,1,""
18789,18789,1,1,""
18790,18790,1,1,""
18791,18791,1,1,""
18792,18792,1,1,""
18793,18793,1,1,""
18794,18794,1,1,""
18795,18795,1,1,""
18796,18796,1,1,""
18797,18797,1,1,""
18798,18798,1,1,""
18799,18799,1,1,""
18800,18800,1,1,""
18801,18801,1,1,""
18802,18802,1,1,""
18803,18803,1,1,""
18804,18804,1,1,""
18805,18805,1,1,""
18806,18806,1,1,""
18807,18807,1,1,""
18808,18808,1,1,""
18809,18809,1,1,""
18810,18810,1,1,""
18811,18811,1,1,""
18812,18812,1,1,""
18813,18813,1,1,""
18814,18814,1,1,""
18821,18821,1,1,""
18822,18822,1,1,""
18823,18823,1,1,""
18825,18825,1,1,""
18836,18836,1,1,""
18844,18844,1,1,""
