item_id,product_id,stock_id,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,"low_stock_date",notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided
1,3,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
2,4,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
3,5,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
4,6,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
5,7,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
6,8,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
7,9,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
8,10,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
9,11,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
10,12,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
11,13,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:10",,1,1,1,1,1,0.0000,1,0,0
12,14,1,4.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
13,15,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
14,16,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
15,17,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
16,18,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
17,19,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
18,20,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
19,21,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
20,22,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
21,23,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
22,24,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
23,25,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
24,26,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
25,27,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:26",,1,1,1,1,1,0.0000,1,0,0
26,28,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:26",,1,1,1,1,1,0.0000,1,0,0
27,29,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:26",,1,1,1,1,1,0.0000,1,0,0
28,30,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:27",,1,1,1,1,1,0.0000,1,0,0
29,31,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:27",,1,1,1,1,1,0.0000,1,0,0
30,32,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:27",,1,1,1,1,1,0.0000,1,0,0
31,33,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
32,34,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
33,35,1,6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
34,36,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
35,37,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
36,38,1,6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
37,39,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
38,40,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
39,41,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:31",,1,1,1,1,1,0.0000,1,0,0
40,42,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
41,43,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:33",,1,1,1,1,1,0.0000,1,0,0
42,44,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:33",,1,1,1,1,1,0.0000,1,0,0
43,45,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:34",,1,1,1,1,1,0.0000,1,0,0
44,46,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
45,47,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:34",,1,1,1,1,1,0.0000,1,0,0
46,48,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:35",,1,1,1,1,1,0.0000,1,0,0
47,49,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
48,50,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
49,51,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
50,52,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
51,53,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
52,54,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
53,55,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
54,56,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
55,57,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
56,58,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
57,59,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
58,60,1,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
59,61,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
60,62,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:44",,1,1,1,1,1,0.0000,1,0,0
61,63,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
62,64,1,6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
63,65,1,7.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
64,66,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
65,67,1,6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
66,68,1,7.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
67,69,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:48",,1,1,1,1,1,0.0000,1,0,0
68,70,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:48",,1,1,1,1,1,0.0000,1,0,0
69,71,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:48",,1,1,1,1,1,0.0000,1,0,0
70,72,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:49",,1,1,1,1,1,0.0000,1,0,0
71,73,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:49",,1,1,1,1,1,0.0000,1,0,0
72,74,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:49",,1,1,1,1,1,0.0000,1,0,0
73,75,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:50",,1,1,1,1,1,0.0000,1,0,0
74,76,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
75,77,1,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
76,78,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:53",,1,1,1,1,1,0.0000,1,0,0
77,79,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
78,80,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
79,81,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:31:54",,1,1,1,1,1,0.0000,1,0,0
80,82,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
81,83,1,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,1,1,0,1,0.0000,1,0,0
82,84,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:02",,1,1,1,1,1,0.0000,1,0,0
83,85,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:02",,1,1,1,1,1,0.0000,1,0,0
84,86,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:02",,1,1,1,1,1,0.0000,1,0,0
85,87,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:04",,1,1,1,1,1,0.0000,1,0,0
86,88,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:04",,1,1,1,1,1,0.0000,1,0,0
87,89,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:04",,1,1,1,1,1,0.0000,1,0,0
88,90,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:04",,1,1,1,1,1,0.0000,1,0,0
89,91,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:05",,1,1,1,1,1,0.0000,1,0,0
90,92,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:05",,1,1,1,1,1,0.0000,1,0,0
91,93,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:05",,1,1,1,1,1,0.0000,1,0,0
92,94,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:05",,1,1,1,1,1,0.0000,1,0,0
93,95,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:07",,1,1,1,1,1,0.0000,1,0,0
94,96,1,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,"2016-03-02 09:34:07",,1,1,1,1,1,0.0000,1,0,0
