attribute_label_id,attribute_id,store_id,"value"
1625,171,1,"Poches intérieures"
1626,171,2,"Poches intérieures"
1627,172,1,"Poches extérieures"
1628,172,2,"Poches extérieures"
1629,173,1,"Taille Française haut"
1630,173,2,"Taille Française haut"
1631,174,1,"Taille Américaine tops (Hommes)"
1632,174,2,"Taille Américaine tops (Hommes)"
1633,175,1,"Taille Américaine tops (Femmes)"
1634,175,2,"Taille Américaine tops (Femmes)"
1645,181,1,"Tour de hanches à plat Français"
1646,181,2,"Tour de hanches à plat Français"
1647,182,1,"Tour de hanches Français"
1648,182,2,"Tour de hanches Français"
1649,183,1,"Tour de hanches Américain"
1650,183,2,"Tour de hanches Américain"
1651,184,1,"Tour de hanches Européen"
1652,184,2,"Tour de hanches Européen"
1653,185,1,"Taille de chemise Européen"
1654,185,2,"Taille de chemise Européen"
1655,186,1,"Taille de chemise Américaine"
1656,186,2,"Taille de chemise Américaine"
1657,187,1,"Taille de robe/jupe Américaine"
1658,187,2,"Taille de robe/jupe Américaine"
1659,188,1,"Taille de robe/jupe Ouest-européenne"
1660,188,2,"Taille de robe/jupe Ouest-européenne"
1661,189,1,"Taille de robe/jupe Centre-européenne"
1662,189,2,"Taille de robe/jupe Centre-européenne"
1663,190,1,"Taille de robe/jupe Italienne"
1664,190,2,"Taille de robe/jupe Italienne"
1665,191,1,"Taille de robe/jupe Britannique"
1666,191,2,"Taille de robe/jupe Britannique"
1667,192,1,"Pointure Européenne"
1668,192,2,"Pointure Européenne"
1669,193,1,"Pointure Britannique"
1670,193,2,"Pointure Britannique"
1671,194,1,"Pointure American"
1672,194,2,"Pointure American"
1677,197,1,"Tour de hanches"
1678,197,2,"Tour de hanches"
1679,198,1,"Hauteur d'entre-jambe"
1680,198,2,"Hauteur d'entre-jambe"
1681,199,1,"Hauteur de taille"
1682,199,2,"Hauteur de taille"
1683,200,1,"Largeur d'épaules"
1684,200,2,"Largeur d'épaules"
1685,201,1,"Largeur d'omoplate"
1686,201,2,"Largeur d'omoplate"
1687,202,1,"Longeur de manches"
1688,202,2,"Longeur de manches"
1689,203,1,"Longeur de manchettes"
1690,203,2,"Longeur de manchettes"
1691,204,1,"Longeur de jupe"
1692,204,2,"Longeur de jupe"
1693,205,1,"Tour de cuisse"
1694,205,2,"Tour de cuisse"
1695,206,1,"Tour de mollet"
1696,206,2,"Tour de mollet"
1697,207,1,"Tour de cheville"
1698,207,2,"Tour de cheville"
1699,208,1,"Tour de cou"
1700,208,2,"Tour de cou"
1701,209,1,"Hauteur de talon"
1702,209,2,"Hauteur de talon"
1715,216,1,"Nom original"
1716,216,2,"Nom original"
1717,217,1,"Description originale"
1718,217,2,"Description originale"
1719,218,1,"Marque"
1720,218,2,"Marque"
1721,219,1,"Prix public original"
1722,219,2,"Prix public original"
1723,220,1,"Couleurs fournisseur"
1724,220,2,"Couleurs fournisseur"
1725,221,1,"Matières fournisseur"
1726,221,2,"Matières fournisseur"
1727,222,1,"Taille du ballotin"
1728,222,2,"Taille du ballotin"
1729,223,1,"Taille de ceinture"
1730,223,2,"Taille de ceinture"
1731,231,1,"Taille de costume"
1732,231,2,"Taille de costume"
1733,232,1,"Longueur de lacet"
1734,232,2,"Longueur de lacet"
1735,156,1,"Libellé"
1736,76,1,"Prix spécial"
1737,71,1,"Nom"
1738,71,2,"Nom"
1739,72,1,"Description"
1740,72,2,"Description"
1741,73,1,"Description courte"
1742,73,2,"Description courte"
1743,74,1,"Réf."
1744,74,2,"Réf."
1745,160,1,"EAN 13"
1746,160,2,"EAN 13"
1747,161,1,"Réf. fournisseur"
1748,161,2,"Réf. fournisseur"
1749,84,1,"Description meta"
1750,84,2,"Description meta"
1751,162,1,"Nom Meta"
1752,162,2,"Nom Meta"
1753,163,1,"Mots clé meta"
1754,163,2,"Mots clé meta"
1755,85,1,"Image"
1756,85,2,"Image"
1757,87,1,"Miniature"
1758,87,2,"Miniature"
1759,164,1,"Stock"
1760,164,2,"Stock"
1761,75,1,"Prix"
1762,75,2,"Prix"
1763,79,1,"Coût"
1764,79,2,"Coût"
1765,165,1,"Prix public minimum"
1766,165,2,"Prix public minimum"
1767,166,1,"Taxe de douanes"
1768,166,2,"Taxe de douanes"
1769,167,1,"Date de sortie"
1770,167,2,"Date de sortie"
1771,169,1,"Couleurs secondaires"
1772,169,2,"Couleurs secondaires"
1773,226,1,"Couleur principale"
1774,226,2,"Couleur principale"
1775,170,1,"Taille ISO"
1776,170,2,"Taille ISO"
1777,176,1,"Taille de bonnet Européenne"
1778,176,2,"Taille de bonnet Européenne"
1779,177,1,"Taille de bonnet américaine"
1780,177,2,"Taille de bonnet américaine"
1781,178,1,"Tour de poitrine France/Espagne"
1782,178,2,"Tour de poitrine France/Espagne"
1783,179,1,"Tour de poitrine Europe"
1784,179,2,"Tour de poitrine Europe"
1785,180,1,"Tour de poitrine Américain/Britanique"
1786,180,2,"Tour de poitrine Américain/Britanique"
1787,195,1,"Tour de poitrine"
1788,195,2,"Tour de poitrine"
1789,196,1,"Tour de taille"
1790,196,2,"Tour de taille"
1791,210,1,"Largeur"
1792,210,2,"Largeur"
1793,211,1,"Longueur"
1794,211,2,"Longueur"
1795,212,1,"Hauteur"
1796,212,2,"Hauteur"
1797,213,1,"Poids"
1798,213,2,"Poids"
1799,214,1,"Matière principale"
1800,214,2,"Matière principale"
1801,215,1,"Matières supplémentaires"
1802,215,2,"Matières supplémentaires"
