entity_attribute_id,entity_type_id,attribute_set_id,attribute_group_id,attribute_id,sort_order
1,1,1,1,1,10
2,1,1,1,2,0
3,1,1,1,3,20
4,1,1,1,4,30
5,1,1,1,5,40
6,1,1,1,6,50
7,1,1,1,7,60
8,1,1,1,8,70
9,1,1,1,9,80
10,1,1,1,10,25
11,1,1,1,11,90
12,1,1,1,12,0
13,1,1,1,13,0
14,1,1,1,14,0
15,1,1,1,15,100
16,1,1,1,16,0
17,1,1,1,17,86
18,1,1,1,18,110
19,2,2,2,19,10
20,2,2,2,20,20
21,2,2,2,21,30
22,2,2,2,22,40
23,2,2,2,23,50
24,2,2,2,24,60
25,2,2,2,25,70
26,2,2,2,26,80
27,2,2,2,27,90
28,2,2,2,28,100
29,2,2,2,29,100
30,2,2,2,30,110
31,2,2,2,31,120
32,2,2,2,32,130
33,1,1,1,33,111
34,1,1,1,34,112
35,1,1,1,35,28
36,2,2,2,36,140
37,2,2,2,37,132
38,2,2,2,38,133
39,2,2,2,39,134
40,2,2,2,40,135
41,3,3,4,41,1
42,3,3,4,42,2
43,3,3,4,43,3
44,3,3,4,44,4
45,3,3,4,45,5
46,3,3,4,46,6
47,3,3,4,47,7
48,3,3,4,48,8
49,3,3,5,49,10
50,3,3,5,50,20
51,3,3,5,51,30
52,3,3,4,52,12
53,3,3,4,53,13
54,3,3,4,54,14
55,3,3,4,55,15
56,3,3,4,56,16
57,3,3,4,57,17
58,3,3,6,58,10
59,3,3,6,59,30
60,3,3,6,60,40
61,3,3,6,61,50
62,3,3,6,62,60
63,3,3,4,63,24
64,3,3,4,64,25
65,3,3,5,65,40
66,3,3,5,66,50
67,3,3,4,67,10
68,3,3,6,68,5
69,3,3,6,69,6
70,3,3,5,70,51
71,4,4,7,71,1
72,4,4,7,72,2
73,4,4,7,73,3
74,4,4,7,74,4
75,4,4,8,75,1
76,4,4,8,76,3
77,4,4,8,77,4
78,4,4,8,78,5
79,4,4,8,79,6
80,4,4,7,80,5
81,4,4,9,82,1
82,4,4,9,83,2
83,4,4,9,84,3
84,4,4,10,85,1
85,4,4,10,86,2
86,4,4,10,87,3
87,4,4,10,88,4
88,4,4,7,89,6
89,4,4,8,90,2
90,4,4,8,91,7
91,4,4,7,93,7
92,4,4,7,94,8
93,4,4,10,95,5
94,4,4,7,96,9
95,4,4,7,97,10
96,4,4,7,98,11
97,4,4,8,99,8
98,4,4,11,100,1
99,4,4,11,101,2
100,4,4,7,102,12
101,4,4,12,103,1
102,4,4,12,104,2
103,4,4,12,105,3
104,4,4,12,106,4
105,4,4,12,107,5
106,4,4,7,108,13
107,4,4,12,109,6
108,4,4,7,110,14
109,4,4,7,111,15
110,4,4,7,112,16
111,4,4,7,113,17
112,4,4,7,114,18
113,4,4,7,115,19
114,4,4,7,116,20
115,4,4,7,117,21
116,4,4,8,118,9
117,4,4,8,119,10
118,4,4,8,120,11
119,4,4,8,121,12
120,4,4,17,122,1
121,4,4,7,123,22
122,4,4,7,124,23
123,4,4,7,125,24
124,4,4,8,126,13
125,4,4,7,127,25
126,4,4,7,128,26
127,4,4,7,129,27
128,4,4,7,130,28
129,4,4,7,131,29
130,3,3,4,132,4
131,1,1,1,133,2
132,1,1,1,134,113
133,1,1,1,135,114
134,1,1,1,136,115
135,1,1,1,137,116
136,1,1,1,138,117
137,1,1,1,139,118
138,1,1,1,140,119
139,1,1,1,141,120
140,9,9,18,142,1
141,9,9,18,143,2
142,9,9,18,144,3
143,9,9,18,145,4
144,9,9,18,146,5
145,9,9,19,147,11
146,9,9,19,148,12
147,9,9,19,149,13
148,9,9,19,150,14
149,9,9,19,151,15
150,9,9,19,152,16
151,9,9,19,153,17
152,9,9,20,154,101
153,9,9,20,155,102
154,4,4,7,156,30
155,3,3,5,157,52
157,4,12,21,122,1
159,4,12,22,103,1
161,4,12,22,104,2
163,4,12,22,105,3
165,4,12,22,106,4
167,4,12,22,107,5
169,4,12,22,109,6
171,4,12,23,100,1
173,4,12,23,101,2
175,4,12,403,85,1
177,4,12,24,86,2
179,4,12,403,87,3
181,4,12,24,88,4
183,4,12,24,95,5
185,4,12,25,82,1
187,4,12,25,83,2
189,4,12,362,84,3
191,4,12,485,75,1
193,4,12,26,90,2
195,4,12,26,76,3
197,4,12,26,77,4
199,4,12,26,78,5
201,4,12,485,79,6
203,4,12,26,91,7
205,4,12,26,99,8
207,4,12,26,118,9
209,4,12,26,119,10
211,4,12,26,120,11
213,4,12,26,121,12
215,4,12,26,126,13
217,4,12,321,71,1
219,4,12,321,72,2
221,4,12,321,73,3
223,4,12,321,74,4
225,4,12,27,80,5
227,4,12,27,89,6
229,4,12,27,93,7
231,4,12,27,94,8
233,4,12,27,96,9
235,4,12,27,97,10
237,4,12,27,98,11
239,4,12,27,102,12
241,4,12,27,108,13
243,4,12,27,110,14
245,4,12,27,111,15
247,4,12,27,112,16
249,4,12,27,113,17
251,4,12,27,114,18
253,4,12,27,115,19
255,4,12,27,116,20
257,4,12,27,117,21
259,4,12,27,123,22
261,4,12,27,124,23
263,4,12,27,125,24
265,4,12,27,127,25
267,4,12,27,128,26
269,4,12,27,129,27
271,4,12,27,130,28
273,4,12,27,131,29
275,4,12,27,156,30
277,4,13,28,122,1
279,4,13,29,103,1
281,4,13,29,104,2
283,4,13,29,105,3
285,4,13,29,106,4
287,4,13,29,107,5
289,4,13,29,109,6
291,4,13,30,100,1
293,4,13,30,101,2
295,4,13,404,85,1
297,4,13,31,86,2
299,4,13,404,87,3
301,4,13,31,88,4
303,4,13,31,95,5
305,4,13,32,82,1
307,4,13,32,83,2
309,4,13,363,84,3
311,4,13,486,75,1
313,4,13,33,90,2
315,4,13,33,76,3
317,4,13,33,77,4
319,4,13,33,78,5
321,4,13,486,79,6
323,4,13,33,91,7
325,4,13,33,99,8
327,4,13,33,118,9
329,4,13,33,119,10
331,4,13,33,120,11
333,4,13,33,121,12
335,4,13,33,126,13
337,4,13,322,71,1
339,4,13,322,72,2
341,4,13,322,73,3
343,4,13,322,74,4
345,4,13,34,80,5
347,4,13,34,89,6
349,4,13,34,93,7
351,4,13,34,94,8
353,4,13,34,96,9
355,4,13,34,97,10
357,4,13,34,98,11
359,4,13,34,102,12
361,4,13,34,108,13
363,4,13,34,110,14
365,4,13,34,111,15
367,4,13,34,112,16
369,4,13,34,113,17
371,4,13,34,114,18
373,4,13,34,115,19
375,4,13,34,116,20
377,4,13,34,117,21
379,4,13,34,123,22
381,4,13,34,124,23
383,4,13,34,125,24
385,4,13,34,127,25
387,4,13,34,128,26
389,4,13,34,129,27
391,4,13,34,130,28
393,4,13,34,131,29
395,4,13,34,156,30
397,4,14,35,122,1
399,4,14,36,103,1
401,4,14,36,104,2
403,4,14,36,105,3
405,4,14,36,106,4
407,4,14,36,107,5
409,4,14,36,109,6
411,4,14,37,100,1
413,4,14,37,101,2
415,4,14,405,85,1
417,4,14,38,86,2
419,4,14,405,87,3
421,4,14,38,88,4
423,4,14,38,95,5
425,4,14,39,82,1
427,4,14,39,83,2
429,4,14,364,84,3
431,4,14,487,75,1
433,4,14,40,90,2
435,4,14,40,76,3
437,4,14,40,77,4
439,4,14,40,78,5
441,4,14,487,79,6
443,4,14,40,91,7
445,4,14,40,99,8
447,4,14,40,118,9
449,4,14,40,119,10
451,4,14,40,120,11
453,4,14,40,121,12
455,4,14,40,126,13
457,4,14,323,71,1
459,4,14,323,72,2
461,4,14,323,73,3
463,4,14,323,74,4
465,4,14,41,80,5
467,4,14,41,89,6
469,4,14,41,93,7
471,4,14,41,94,8
473,4,14,41,96,9
475,4,14,41,97,10
477,4,14,41,98,11
479,4,14,41,102,12
481,4,14,41,108,13
483,4,14,41,110,14
485,4,14,41,111,15
487,4,14,41,112,16
489,4,14,41,113,17
491,4,14,41,114,18
493,4,14,41,115,19
495,4,14,41,116,20
497,4,14,41,117,21
499,4,14,41,123,22
501,4,14,41,124,23
503,4,14,41,125,24
505,4,14,41,127,25
507,4,14,41,128,26
509,4,14,41,129,27
511,4,14,41,130,28
513,4,14,41,131,29
